year,keyword,date,value
2017,aaron hernandez,2017-04-16,32
2017,aaron hernandez,2017-04-23,6
2017,aaron hernandez,2017-04-09,3
2017,miss universe,2017-01-29,23
2017,miss universe,2017-11-26,16
2017,miss universe,2017-01-22,6
2017,korea,2017-08-06,47
2017,korea,2017-09-03,44
2017,korea,2017-04-09,42
2017,kyrie irving,2017-07-23,7
2017,kyrie irving,2017-08-20,7
2017,kyrie irving,2017-07-16,5
2017,bitcoin,2017-12-17,100
2017,bitcoin,2017-12-03,88
2017,bitcoin,2017-12-10,81
2017,isPartial.4,2017-01-01,False
2017,isPartial.4,2017-01-08,False
2017,isPartial.4,2017-01-15,False
2017,golden globe award,2017-01-08,1
2017,golden globe award,2017-01-01,0
2017,golden globe award,2017-01-15,0
2017,united airlines,2017-04-09,100
2017,united airlines,2017-04-16,18
2017,united airlines,2017-04-23,13
2017,toshiba,2017-01-01,10
2017,toshiba,2017-01-08,10
2017,toshiba,2017-01-15,10
2017,melania trump,2017-01-15,48
2017,melania trump,2017-01-22,42
2017,melania trump,2017-05-21,18
2017,trump news,2017-01-29,31
2017,trump news,2017-01-22,25
2017,trump news,2017-02-12,22
2017,isPartial.5,2017-01-01,False
2017,isPartial.5,2017-01-08,False
2017,isPartial.5,2017-01-15,False
2017,cavs,2017-06-04,89
2017,cavs,2017-06-11,42
2017,cavs,2017-05-21,32
2017,trump twitter,2017-02-05,20
2017,trump twitter,2017-01-29,19
2017,trump twitter,2017-01-22,17
2017,immigration,2017-01-29,39
2017,immigration,2017-02-05,21
2017,immigration,2017-02-12,20
2017,mariah carey,2017-01-01,100
2017,mariah carey,2017-12-31,14
2017,mariah carey,2017-01-08,9
2017,eminem,2017-10-08,48
2017,eminem,2017-12-17,30
2017,eminem,2017-12-10,29
2017,isPartial.6,2017-01-01,False
2017,isPartial.6,2017-01-08,False
2017,isPartial.6,2017-01-15,False
2017,ivanka trump,2017-01-15,28
2017,ivanka trump,2017-02-05,21
2017,ivanka trump,2017-01-22,20
2017,news today,2017-08-27,40
2017,news today,2017-08-20,39
2017,news today,2017-08-13,37
2017,celtics,2017-05-14,54
2017,celtics,2017-05-21,44
2017,celtics,2017-05-07,31
2017,nintendo,2017-03-05,100
2017,nintendo,2017-02-26,98
2017,nintendo,2017-12-24,90
2017,cnn news,2017-01-29,20
2017,cnn news,2017-10-01,20
2017,cnn news,2017-09-03,19
2017,isPartial.7,2017-01-01,False
2017,isPartial.7,2017-01-08,False
2017,isPartial.7,2017-01-15,False
2017,abc news,2017-01-15,4
2017,abc news,2017-09-03,4
2017,abc news,2017-01-01,3
2017,amd,2017-02-26,9
2017,amd,2017-02-19,8
2017,amd,2017-01-01,7
2017,washington post,2017-05-14,5
2017,washington post,2017-01-22,4
2017,washington post,2017-01-29,4
2017,patriots,2017-02-05,31
2017,patriots,2017-01-22,22
2017,patriots,2017-01-15,19
2017,mexico,2017-09-17,100
2017,mexico,2017-09-03,64
2017,mexico,2017-06-18,61
2017,isPartial.8,2017-01-01,False
2017,isPartial.8,2017-01-08,False
2017,isPartial.8,2017-01-15,False
2017,amazon,2017-11-19,68
2017,amazon,2017-12-10,63
2017,amazon,2017-11-26,62
2017,dragon ball super,2017-10-08,6
2017,dragon ball super,2017-10-15,4
2017,dragon ball super,2017-07-23,3
2017,craigslist,2017-03-05,29
