event_start,event_end,event_type,headline,category
2017-07-20,2017-07-20,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-07-20,2017-07-25,crisis,chris cornell,General / Breaking News
2017-07-20,2017-07-20,crisis,cnn news,General / Breaking News
2017-07-21,2017-07-21,crisis,craigslist,Technology & AI
2017-07-24,2017-07-24,macro,bitcoin,Crypto & Digital Assets
2017-07-25,2017-07-26,crisis,sessions,General / Breaking News
2017-07-26,2017-07-26,crisis,nintendo,Technology & AI
2017-07-26,2017-07-26,geopolitics,trump news,Politics & Government
2017-07-27,2017-07-27,geopolitics,trump twitter,Politics & Government
2017-07-28,2017-07-28,crisis,chris cornell,General / Breaking News
2017-07-28,2017-07-28,crisis,sessions,General / Breaking News
2017-07-31,2017-08-01,crisis,toshiba,General / Breaking News
2017-07-31,2017-07-31,crisis,iphone 8,Technology & AI
2017-07-31,2017-07-31,crisis,kellyanne conway,General / Breaking News
2017-08-02,2017-08-03,crisis,michael t. flynn,General / Breaking News
2017-08-02,2017-08-02,crisis,iphone 8,Technology & AI
2017-08-03,2017-08-04,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-08-03,2017-08-03,crisis,mariah carey,General / Breaking News
2017-08-04,2017-08-04,crisis,washington post,General / Breaking News
2017-08-04,2017-08-04,crisis,sessions,General / Breaking News
2017-08-04,2017-08-04,crisis,chris cornell,General / Breaking News
2017-08-08,2017-08-08,macro,bitcoin,Crypto & Digital Assets
2017-08-08,2017-08-08,crisis,iphone 8,Technology & AI
2017-08-09,2017-08-09,macro,litecoin,Crypto & Digital Assets
2017-08-09,2017-08-09,crisis,washington post,General / Breaking News
2017-08-09,2017-08-11,crisis,korea,General / Breaking News
2017-08-09,2017-08-10,geopolitics,trump news,Politics & Government
2017-08-09,2017-08-11,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-08-10,2017-08-10,crisis,chris cornell,General / Breaking News
2017-08-14,2017-08-14,crisis,sessions,General / Breaking News
2017-08-15,2017-08-15,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-08-15,2017-08-15,crisis,korea,General / Breaking News
2017-08-16,2017-08-18,geopolitics,trump news,Politics & Government
2017-08-16,2017-08-16,crisis,celtics,General / Breaking News
2017-08-16,2017-08-16,macro,litecoin,Crypto & Digital Assets
2017-08-18,2017-08-21,geopolitics,trump impeachment,Politics & Government
2017-08-22,2017-08-22,crisis,mariah carey,General / Breaking News
2017-08-23,2017-08-24,crisis,miss universe,General / Breaking News
2017-08-23,2017-08-24,crisis,celtics,General / Breaking News
2017-08-24,2017-08-28,crisis,chris cornell,General / Breaking News
2017-08-24,2017-08-24,geopolitics,golden globe award,"War, Geopolitics & Terrorism"
2017-08-24,2017-08-24,crisis,craigslist,Technology & AI
2017-08-24,2017-08-24,crisis,news today,General / Breaking News
2017-08-24,2017-08-29,crisis,mexico,General / Breaking News
2017-08-24,2017-08-24,geopolitics,trump news,Politics & Government
2017-08-24,2017-09-29,crisis,hurricane harvey,Natural Disasters & Climate
2017-08-24,2017-08-24,crisis,mariah carey,General / Breaking News
2017-08-24,2017-08-25,crisis,abc news,General / Breaking News
2017-08-24,2017-08-30,crisis,weather,Natural Disasters & Climate
2017-08-24,2017-08-24,crisis,amazon,General / Breaking News
2017-08-24,2017-08-28,crisis,iphone 8,Technology & AI
2017-08-24,2017-08-24,geopolitics,trump twitter,Politics & Government
2017-08-25,2017-08-25,crisis,united airlines,Technology & AI
2017-08-28,2017-08-29,geopolitics,melania trump,Politics & Government
2017-08-28,2017-08-28,crisis,mariah carey,General / Breaking News
2017-08-28,2017-08-28,geopolitics,trump twitter,Politics & Government
2017-08-29,2017-08-29,geopolitics,north korea,"War, Geopolitics & Terrorism"
2017-08-30,2017-08-30,crisis,mariah carey,General / Breaking News
2017-08-31,2017-08-31,crisis,iphone 8,Technology & AI
2017-08-31,2017-08-31,crisis,miss universe,General / Breaking News
2017-09-01,2017-10-09,crisis,hurricane irma,Natural Disasters & Climate
2017-09-01,2017-09-01,crisis,chris cornell,General / Breaking News
