datetime,omicron_intensity,brian laundrie_intensity,gabby petito_intensity,delta variant_intensity,vaccine mandate_intensity,shiba inu coin_intensity,dogecoin_intensity,marjorie taylor greene_intensity,johnson and johnson vaccine_intensity,capitol_intensity,deshaun watson_intensity,crypto_intensity,cardano_intensity,amc stock_intensity,taliban_intensity,afghanistan_intensity,afghanistan news_intensity,ethereum_intensity,justin fields_intensity,aaron rodgers_intensity,myanmar_intensity,covid vaccine_intensity,britney spears_intensity,ted cruz_intensity,vaccine_intensity,russell wilson_intensity,tiger woods_intensity,washington football team_intensity,gamestop_intensity,kyle rittenhouse_intensity,student loan forgiveness_intensity,bitcoin_intensity,bitcoin price_intensity,immigration news_intensity,phoenix suns_intensity,nba scores_intensity,ukraine_intensity,atlanta braves_intensity,knicks_intensity,elon musk_intensity,yankees_intensity,kim kardashian_intensity,israel_intensity,traductor_intensity,dodgers_intensity,chicago bears_intensity,ethiopia_intensity
2021-02-08,0.0005,0.0,0.0,0.0,0.0018,0.0,0.0519,0.0607,0.0049,1.0584,0.0183,0.1286,0.0059,0.0021,0.0088,0.0891,0.0,0.0408,0.0039,0.0984,0.205,0.7228,0.1002,0.032,1.8165,0.0199,0.0173,0.0209,0.1709,0.0028,0.0026,0.2633,0.0237,0.0028,0.0176,0.0,0.2357,0.0021,0.0328,0.2099,0.0214,0.0088,0.5003,0.0,0.0617,0.0155,0.0191
2021-02-09,0.0002,0.0,0.0,0.0,0.0002,0.0,0.0242,0.0596,0.0019,1.6623,0.0117,0.0878,0.0012,0.0009,0.0171,0.0925,0.0,0.0357,0.0033,0.0779,0.185,0.8877,0.1303,0.0857,2.1057,0.0117,0.0073,0.0124,0.1655,0.0016,0.0031,0.2357,0.0176,0.0054,0.0188,0.0,0.3349,0.0031,0.0167,0.1467,0.0106,0.0131,0.3598,0.0,0.023,0.0127,0.027
2021-02-10,0.0,0.0,0.0,0.0,0.0012,0.0,0.0116,0.0534,0.0021,1.6532,0.0154,0.0536,0.0012,0.0005,0.0584,0.1156,0.0002,0.0286,0.0059,0.0312,0.1765,0.9568,0.1796,0.1524,2.2889,0.0097,0.0026,0.0182,0.1515,0.0031,0.0038,0.1571,0.0064,0.0028,0.009,0.0,0.3233,0.009,0.0291,0.099,0.0224,0.0378,0.4034,0.0,0.0217,0.0111,0.0347
2021-02-11,0.0005,0.0,0.0,0.0,0.0015,0.0,0.0094,0.0286,0.0101,1.5183,0.0101,0.0651,0.003,0.0007,0.0175,0.0656,0.0,0.0279,0.0072,0.0173,0.3025,0.9686,0.0913,0.2065,2.3867,0.0175,0.0039,0.0099,0.1527,0.0755,0.0047,0.1416,0.0072,0.0027,0.0192,0.0,0.2252,0.0076,0.0254,0.0881,0.0397,0.0269,0.3476,0.0,0.0336,0.0148,0.0535
2021-02-12,0.0013,0.0,0.0,0.0,0.0013,0.0,0.0096,0.0383,0.0036,1.4888,0.0276,0.056,0.0,0.0,0.0383,0.0748,0.0,0.013,0.0042,0.0109,0.1678,1.0497,0.4292,0.1819,2.3684,0.0878,0.0323,0.0107,0.0941,0.0485,0.006,0.1394,0.0078,0.0034,0.0143,0.0003,0.1561,0.0068,0.0159,0.0633,0.0274,0.0112,0.3023,0.0,0.0347,0.0091,0.0242
2021-02-13,0.0004,0.0,0.0,0.0,0.0,0.0,0.0035,0.0436,0.0039,2.9851,0.017,0.0424,0.0008,0.0,0.106,0.1299,0.0,0.0066,0.0023,0.0085,0.1234,0.9283,0.2722,0.1295,2.1034,0.0077,0.0019,0.0058,0.0671,0.0093,0.0019,0.084,0.005,0.0054,0.0096,0.0,0.6997,0.0054,0.0482,0.0617,0.022,0.012,0.2101,0.0,0.022,0.0066,0.0505
2021-02-14,0.0004,0.0,0.0,0.0,0.0008,0.0,0.0139,0.133,0.003,2.5363,0.0076,0.0283,0.0017,0.0008,0.03,0.0862,0.0025,0.003,0.0013,0.0144,0.1297,0.7277,0.174,0.1233,1.9471,0.0148,0.0008,0.0038,0.0367,0.0038,0.0013,0.0735,0.0046,0.0013,0.0308,0.0,0.3231,0.0042,0.0536,0.0574,0.0313,0.0076,0.1926,0.0,0.0346,0.0046,0.0228
2021-02-15,0.0003,0.0,0.0,0.0,0.0,0.0,0.0159,0.0292,0.0011,0.9405,0.0082,0.058,0.0003,0.0006,0.028,0.0863,0.0,0.0156,0.004,0.0085,0.1911,0.7859,0.0374,0.0212,2.0474,0.0059,0.0037,0.0051,0.0708,0.0023,0.0014,0.1121,0.0054,0.0008,0.0263,0.0,0.0835,0.0034,0.0161,0.064,0.0167,0.0059,0.4385,0.0,0.0351,0.0082,0.0136
2021-02-16,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0112,0.0285,0.0028,1.2695,0.0071,0.1088,0.0013,0.0008,0.0341,0.0851,0.0003,0.031,0.0036,0.0381,0.1332,0.9265,0.0292,0.0272,2.285,0.0038,0.0013,0.0043,0.0556,0.0025,0.0033,0.2018,0.0086,0.0028,0.0188,0.0,0.0747,0.0056,0.0252,0.0816,0.0259,0.0061,0.3794,0.0,0.015,0.0074,0.0175
2021-02-17,0.0005,0.0,0.0,0.0,0.0014,0.0,0.0091,0.021,0.0038,0.8514,0.0069,0.0811,0.0048,0.0005,0.0494,0.1395,0.0,0.0141,0.0057,0.0067,0.104,1.036,0.0549,0.0456,2.9429,0.005,0.0072,0.0036,0.0839,0.001,0.032,0.1293,0.0081,0.0038,0.0255,0.0,0.1498,0.0343,0.0162,0.0797,0.0234,0.0079,0.363,0.0,0.0262,0.0038,0.0961
